char,char_index
白,0
在,1
的,2
云,3
国,4
要,5
我,6
书,7
说,8
人,9
活,10
文,11
字,12
中,13
火,14
们,15
好,16
水,17
天,18
日,19
学,20
有,21
爱,22
上,23
写,24
家,25
红,26
会,27
生,28
他,29
和,30
山,31
了,32
是,33
就,34
一,35
也,36
到,37
去,38
着,39
没,40
看,41
自,42
这,43
来,44
为,45
能,46
下,47
多,48
时,49
以,50
得,51
年,52
对,53
可,54
用,55
后,56
过,57
大,58
小,59
出,60
如,61
现,62
前,63
所,64
成,65
开,66
实,67
作,68
手,69
心,70
行,71
面,72
明,73
想,74
头,75
事,76
长,77
动,78
发,79
地,80
方,81
分,82
而,83
子,84
里,85
新,86
情,87
正,88
确,89
本,90
性,91
体,92
点,93
理,94
机,95
锯,96
肾,97
步,98
功,99
